what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551588149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551658545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382551668974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382551690253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551698413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551700992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551702201
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382551702484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551702684
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382551707725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551712676
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382551713002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551713092
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382551715500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551728048
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382551728426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551728594
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382551734357
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382551736019
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382551737070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551745933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551746200
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382551761172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551762354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382551765956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382551770299
